Month,Indicator,Value,Direction
2019-12,Exports,-2.7,red
2019-12,Unemployment in urban areas,0,neutral
2019-12,Youth unemployment in urban areas,0,neutral
2019-12,Female labour force participation in urban areas,0,neutral
2019-12,Wholesale inflation,2.8,green
2019-12,Imports,-6.5,red
2019-12,GST,8.9,green
2019-12,Aggregate deposits,9.7,green
2019-12,Credit card payments,0,neutral
2019-12,Non-food credit,8.1,green
2019-12,Three-wheeler registrations,-6,red
2019-12,Tractor sales,-3.8,red
2019-12,Four-wheeler sales,-9.6,red
2019-12,PMI Services,53.3,green
2019-12,PMI Composite,53.7,green
2019-12,Natural gas consumption,-1.8,neutral
2019-12,Two-wheeler sales,-14.5,red
2019-12,Electricity demand,-2.4,red
2019-12,Petrol consumption,3.3,green
2019-12,Naukri Job Speak Index,10.5,green
2019-12,E-way bill generation,10.8,green
2019-12,ATF consumption,1.2,neutral
2019-12,Diesel consumption,0,neutral
2019-12,Rail Freight Traffic,0,neutral
2019-12,Credit and debit card payments,19,green
2019-12,Air cargo,-4.8,red
2019-12,Consumer Durables production,-5.6,red
2019-12,IIP,0.4,neutral
2019-12,Consumer Non-durables production,-3.2,red
2020-01,MCEP,46.5,green
2020-01,Core sector output,2.2,green
2020-01,Retail inflation,7.6,green
2020-01,Major Port Cargo Traffic,2.7,green
2020-01,MGNREGA work demanded by persons,-10.8,red
2020-01,UPI volume,94,green
2020-01,PMI Manufacturing,55.3,green
2020-01,Air passengers,2.2,green
2020-01,Exports,-2.1,red
2020-01,Unemployment in urban areas,0,neutral
2020-01,Youth unemployment in urban areas,0,neutral
2020-01,Female labour force participation in urban areas,0,neutral
2020-01,Wholesale inflation,3.5,green
2020-01,Imports,-0.7,red
2020-01,GST,8.1,green
2020-01,Aggregate deposits,11.1,green
2020-01,Credit card payments,0,neutral
2020-01,Non-food credit,8.3,green
2020-01,Three-wheeler registrations,1.1,neutral
2020-01,Tractor sales,3.5,green
2020-01,Four-wheeler sales,-3.8,red
2020-01,PMI Services,55.5,green
2020-01,PMI Composite,56.3,green
2020-01,Natural gas consumption,5.7,green
2020-01,Two-wheeler sales,-7,red
2020-01,Electricity demand,2.1,green
2020-01,Petrol consumption,3.5,green
2020-01,Naukri Job Speak Index,5.8,green
2020-01,E-way bill generation,11.6,green
2020-01,ATF consumption,2.3,green
2020-01,Diesel consumption,-1.6,neutral
2020-01,Rail Freight Traffic,2.5,green
2020-01,Credit and debit card payments,22.3,green
2020-01,Air cargo,2.4,green
2020-01,Consumer Durables production,-3.7,red
2020-01,IIP,2.2,green
2020-01,Consumer Non-durables production,-0.6,red
2020-02,MCEP,50.9,green
2020-02,Core sector output,6.4,green
2020-02,Retail inflation,6.6,green
2020-02,Major Port Cargo Traffic,4.8,green
2020-02,MGNREGA work demanded by persons,5,green
2020-02,UPI volume,96.6,green
2020-02,PMI Manufacturing,54.5,green
2020-02,Air passengers,8.9,green
2020-02,Exports,3.3,green
2020-02,Unemployment in urban areas,0,neutral
2020-02,Youth unemployment in urban areas,0,neutral
2020-02,Female labour force participation in urban areas,0,neutral
2020-02,Wholesale inflation,2.3,green
2020-02,Imports,3.6,green
2020-02,GST,8.3,green
2020-02,Aggregate deposits,10.2,green
2020-02,Credit card payments,0,neutral
2020-02,Non-food credit,7,green
2020-02,Three-wheeler registrations,23.5,green
2020-02,Tractor sales,4.7,green
2020-02,Four-wheeler sales,1.4,neutral
2020-02,PMI Services,57.5,green
2020-02,PMI Composite,57.6,green
2020-02,Natural gas consumption,34.4,green
2020-02,Two-wheeler sales,3.1,green
2020-02,Electricity demand,9.8,green
2020-02,Petrol consumption,11.3,green
2020-02,Naukri Job Speak Index,0,neutral
2020-02,E-way bill generation,14.3,green
2020-02,ATF consumption,5.1,green
2020-02,Diesel consumption,6.3,green
2020-02,Rail Freight Traffic,6.5,green
2020-02,Credit and debit card payments,25.6,green
2020-02,Air cargo,5.8,green
2020-02,Consumer Durables production,-6.5,red
2020-02,IIP,5.2,green
2020-02,Consumer Non-durables production,0.5,neutral
2020-03,MCEP,35.8,green
2020-03,Core sector output,-8.6,red
2020-03,Retail inflation,5.8,green
2020-03,Major Port Cargo Traffic,-5.3,red
2020-03,MGNREGA work demanded by persons,1.5,neutral
2020-03,UPI volume,55.9,green
2020-03,PMI Manufacturing,51.8,green
2020-03,Air passengers,-33.1,red
2020-03,Exports,-34.3,red
2020-03,Unemployment in urban areas,0,neutral
2020-03,Youth unemployment in urban areas,0,neutral
2020-03,Female labour force participation in urban areas,0,neutral
2020-03,Wholesale inflation,0.4,neutral
2020-03,Imports,-28,red
2020-03,GST,-8.4,red
2020-03,Aggregate deposits,7.9,green
2020-03,Credit card payments,0,neutral
2020-03,Non-food credit,6.1,green
2020-03,Three-wheeler registrations,85.4,green
2020-03,Tractor sales,-2.3,red
2020-03,Four-wheeler sales,-10.4,red
2020-03,PMI Services,49.3,green
2020-03,PMI Composite,50.6,green
2020-03,Natural gas consumption,2.8,green
2020-03,Two-wheeler sales,30.7,green
2020-03,Electricity demand,-9.8,red
2020-03,Petrol consumption,-16.4,red
2020-03,Naukri Job Speak Index,-17.8,red
2020-03,E-way bill generation,-26,red
2020-03,ATF consumption,-32.5,red
2020-03,Diesel consumption,-24.1,red
2020-03,Rail Freight Traffic,-13.9,red
2020-03,Credit and debit card payments,-7.9,red
2020-03,Air cargo,-33.1,red
2020-03,Consumer Durables production,-36.9,red
2020-03,IIP,-18.7,red
2020-03,Consumer Non-durables production,-22,red
2020-04,MCEP,18.2,green
2020-04,Core sector output,-37.9,red
2020-04,Retail inflation,7.2,green
2020-04,Major Port Cargo Traffic,-20.9,red
2020-04,MGNREGA work demanded by persons,-34.2,red
2020-04,UPI volume,27.9,green
2020-04,PMI Manufacturing,27.4,green
2020-04,Air passengers,-100,red
2020-04,Exports,-60.9,red
2020-04,Unemployment in urban areas,0,neutral
2020-04,Youth unemployment in urban areas,0,neutral
2020-04,Female labour force participation in urban areas,0,neutral
2020-04,Wholesale inflation,-1.6,neutral
2020-04,Imports,-59.7,red
2020-04,GST,-71.7,red
2020-04,Aggregate deposits,9.9,green
2020-04,Credit card payments,0,neutral
2020-04,Non-food credit,6.7,green
2020-04,Three-wheeler registrations,-59.2,red
2020-04,Tractor sales,-85.2,red
2020-04,Four-wheeler sales,-90.2,red
2020-04,PMI Services,5.4,green
2020-04,PMI Composite,7.2,green
2020-04,Natural gas consumption,-26.1,red
2020-04,Two-wheeler sales,-72.7,red
2020-04,Electricity demand,-25.1,red
2020-04,Petrol consumption,-60.4,red
2020-04,Naukri Job Speak Index,-61.6,red
2020-04,E-way bill generation,-83.6,red
2020-04,ATF consumption,-91.5,red
2020-04,Diesel consumption,-55.6,red
2020-04,Rail Freight Traffic,-35.3,red
2020-04,Credit and debit card payments,-51.3,red
2020-04,Air cargo,-94.3,red
2020-04,Consumer Durables production,-95.7,red
2020-04,IIP,-57.3,red
2020-04,Consumer Non-durables production,-48.1,red
2020-05,MCEP,19,green
2020-05,Core sector output,-21.4,red
2020-05,Retail inflation,6.3,green
2020-05,Major Port Cargo Traffic,-23.2,red
2020-05,MGNREGA work demanded by persons,51.9,green
2020-05,UPI volume,68.3,green
2020-05,PMI Manufacturing,30.8,green
2020-05,Air passengers,-97.7,red
2020-05,Exports,-35.5,red
2020-05,Unemployment in urban areas,0,neutral
2020-05,Youth unemployment in urban areas,0,neutral
2020-05,Female labour force participation in urban areas,0,neutral
2020-05,Wholesale inflation,-3.4,red
2020-05,Imports,-51,red
2020-05,GST,-38,red
2020-05,Aggregate deposits,10.5,green
2020-05,Credit card payments,0,neutral
2020-05,Non-food credit,6.1,green
2020-05,Three-wheeler registrations,-95.9,red
2020-05,Tractor sales,-75.7,red
2020-05,Four-wheeler sales,-86.4,red
2020-05,PMI Services,12.6,green
2020-05,PMI Composite,14.8,green
2020-05,Natural gas consumption,-1.7,neutral
2020-05,Two-wheeler sales,-88.1,red
2020-05,Electricity demand,-16.3,red
2020-05,Petrol consumption,-35.3,red
2020-05,Naukri Job Speak Index,-61.2,red
2020-05,E-way bill generation,-53,red
2020-05,ATF consumption,-83.8,red
2020-05,Diesel consumption,-29.5,red
2020-05,Rail Freight Traffic,-21.3,red
2020-05,Credit and debit card payments,-37,red
2020-05,Air cargo,-82.2,red
2020-05,Consumer Durables production,-70.3,red
2020-05,IIP,-33.4,red
2020-05,Consumer Non-durables production,-9.7,red
2020-06,MCEP,25.9,green
2020-06,Core sector output,-12.4,red
2020-06,Retail inflation,6.2,green
2020-06,Major Port Cargo Traffic,-14.6,red
2020-06,MGNREGA work demanded by persons,79.3,green
2020-06,UPI volume,77.2,green
2020-06,PMI Manufacturing,47.2,green
2020-06,Air passengers,-83.5,red
2020-06,Exports,-12,red
2020-06,Unemployment in urban areas,0,neutral
2020-06,Youth unemployment in urban areas,0,neutral
2020-06,Female labour force participation in urban areas,0,neutral
2020-06,Wholesale inflation,-1.8,neutral
2020-06,Imports,-48,red
2020-06,GST,-9,red
2020-06,Aggregate deposits,9.6,green
2020-06,Credit card payments,0,neutral
2020-06,Non-food credit,6,green
2020-06,Three-wheeler registrations,-66.2,red
2020-06,Tractor sales,8.9,green
2020-06,Four-wheeler sales,-35,red
2020-06,PMI Services,33.7,green
2020-06,PMI Composite,37.8,green
2020-06,Natural gas consumption,-2.3,red
2020-06,Two-wheeler sales,-39.8,red
2020-06,Electricity demand,-12.3,red
2020-06,Petrol consumption,-13.5,red
2020-06,Naukri Job Speak Index,-44.4,red
2020-06,E-way bill generation,-12.7,red
2020-06,ATF consumption,-65.9,red
2020-06,Diesel consumption,-15.5,red
2020-06,Rail Freight Traffic,-7.7,red
2020-06,Credit and debit card payments,-26.1,red
2020-06,Air cargo,-49.5,red
2020-06,Consumer Durables production,-34.8,red
2020-06,IIP,-16.6,red
2020-06,Consumer Non-durables production,6.9,green
2020-07,MCEP,28.7,green
2020-07,Core sector output,-7.6,red
2020-07,Retail inflation,6.7,green
2020-07,Major Port Cargo Traffic,-13,red
2020-07,MGNREGA work demanded by persons,78,green
2020-07,UPI volume,82.1,green
2020-07,PMI Manufacturing,46,green
2020-07,Air passengers,-82.3,red
2020-07,Exports,-9.3,red
2020-07,Unemployment in urban areas,0,neutral
2020-07,Youth unemployment in urban areas,0,neutral
2020-07,Female labour force participation in urban areas,0,neutral
2020-07,Wholesale inflation,-0.2,red
2020-07,Imports,-28,red
2020-07,GST,-14.4,red
2020-07,Aggregate deposits,12.1,green
2020-07,Credit card payments,0,neutral
2020-07,Non-food credit,6.4,green
2020-07,Three-wheeler registrations,-64.1,red
2020-07,Tractor sales,42.1,green
2020-07,Four-wheeler sales,-19.5,red
2020-07,PMI Services,34.2,green
2020-07,PMI Composite,37.2,green
2020-07,Natural gas consumption,9.3,green
2020-07,Two-wheeler sales,-35.8,red
2020-07,Electricity demand,-4.5,red
2020-07,Petrol consumption,-10.4,red
2020-07,Naukri Job Speak Index,-47.3,red
2020-07,E-way bill generation,-7.3,red
2020-07,ATF consumption,-64.6,red
2020-07,Diesel consumption,-19.5,red
2020-07,Rail Freight Traffic,-4.6,red
2020-07,Credit and debit card payments,-25.8,red
2020-07,Air cargo,-49.8,red
2020-07,Consumer Durables production,-23.7,red
2020-07,IIP,-10.5,red
2020-07,Consumer Non-durables production,1.8,neutral
2020-08,MCEP,31,green
2020-08,Core sector output,-6.9,red
2020-08,Retail inflation,6.7,green
2020-08,Major Port Cargo Traffic,-10.3,red
2020-08,MGNREGA work demanded by persons,72.6,green
2020-08,UPI volume,76.3,green
2020-08,PMI Manufacturing,52,green
2020-08,Air passengers,-76,red
2020-08,Exports,-12.2,red
2020-08,Unemployment in urban areas,0,neutral
2020-08,Youth unemployment in urban areas,0,neutral
2020-08,Female labour force participation in urban areas,0,neutral
2020-08,Wholesale inflation,0.4,neutral
2020-08,Imports,-22.1,red
2020-08,GST,-12,red
2020-08,Aggregate deposits,10.9,green
2020-08,Credit card payments,0,neutral
2020-08,Non-food credit,5.5,green
2020-08,Three-wheeler registrations,-45.9,red
2020-08,Tractor sales,30.7,green
2020-08,Four-wheeler sales,2.8,green
2020-08,PMI Services,41.8,green
2020-08,PMI Composite,46,green
2020-08,Natural gas consumption,-3.9,red
2020-08,Two-wheeler sales,-24.2,red
2020-08,Electricity demand,-4.2,red
2020-08,Petrol consumption,-7.5,red
2020-08,Naukri Job Speak Index,-34.7,red
2020-08,E-way bill generation,-3.5,red
2020-08,ATF consumption,-61.5,red
2020-08,Diesel consumption,-20.8,red
2020-08,Rail Freight Traffic,3.9,green
2020-08,Credit and debit card payments,-20.9,red
2020-08,Air cargo,-45,red
2020-08,Consumer Durables production,-10.2,red
2020-08,IIP,-7.1,red
2020-08,Consumer Non-durables production,-3,red
2020-09,MCEP,40,green
2020-09,Core sector output,0.6,neutral
2020-09,Retail inflation,7.3,green
2020-09,Major Port Cargo Traffic,-1.9,neutral
2020-09,MGNREGA work demanded by persons,76.3,green
2020-09,UPI volume,88.5,green
2020-09,PMI Manufacturing,56.8,green
2020-09,Air passengers,-65.7,red
2020-09,Exports,5.9,green
2020-09,Unemployment in urban areas,0,neutral
2020-09,Youth unemployment in urban areas,0,neutral
2020-09,Female labour force participation in urban areas,0,neutral
2020-09,Wholesale inflation,1.3,neutral
2020-09,Imports,-19,red
2020-09,GST,3.9,green
2020-09,Aggregate deposits,10.5,green
2020-09,Credit card payments,0,neutral
2020-09,Non-food credit,5.1,green
2020-09,Three-wheeler registrations,-26.9,red
2020-09,Tractor sales,92.1,green
2020-09,Four-wheeler sales,21.7,green
2020-09,PMI Services,49.8,green
2020-09,PMI Composite,54.6,green
2020-09,Natural gas consumption,-0.2,red
2020-09,Two-wheeler sales,-7.5,red
2020-09,Electricity demand,1.9,neutral
2020-09,Petrol consumption,3.3,green
2020-09,Naukri Job Speak Index,-23,red
2020-09,E-way bill generation,9.6,green
2020-09,ATF consumption,-52.1,red
2020-09,Diesel consumption,-6,red
2020-09,Rail Freight Traffic,15.5,green
2020-09,Credit and debit card payments,-16,red
2020-09,Air cargo,-29.3,red
2020-09,Consumer Durables production,5.3,green
2020-09,IIP,1,neutral
2020-09,Consumer Non-durables production,2.4,green
2020-10,MCEP,42.3,green
2020-10,Core sector output,-0.5,red
2020-10,Retail inflation,7.6,green
2020-10,Major Port Cargo Traffic,-1.2,neutral
2020-10,MGNREGA work demanded by persons,93,green
2020-10,UPI volume,80.4,green
2020-10,PMI Manufacturing,58.9,green
2020-10,Air passengers,-57.1,red
2020-10,Exports,-5,red
2020-10,Unemployment in urban areas,0,neutral
2020-10,Youth unemployment in urban areas,0,neutral
2020-10,Female labour force participation in urban areas,0,neutral
2020-10,Wholesale inflation,1.3,neutral
2020-10,Imports,-10.3,red
2020-10,GST,10.2,green
2020-10,Aggregate deposits,11.1,green
2020-10,Credit card payments,0,neutral
2020-10,Non-food credit,5.1,green
2020-10,Three-wheeler registrations,-39.6,red
2020-10,Tractor sales,64.5,green
2020-10,Four-wheeler sales,-2.1,red
2020-10,PMI Services,54.1,green
2020-10,PMI Composite,58,green
2020-10,Natural gas consumption,7.6,green
2020-10,Two-wheeler sales,-24.4,red
2020-10,Electricity demand,8,green
2020-10,Petrol consumption,4.5,green
2020-10,Naukri Job Speak Index,-17,red
2020-10,E-way bill generation,21.4,green
2020-10,ATF consumption,-48.4,red
2020-10,Diesel consumption,7.5,green
2020-10,Rail Freight Traffic,15.4,green
2020-10,Credit and debit card payments,-14.1,red
2020-10,Air cargo,-24,red
2020-10,Consumer Durables production,18.1,green
2020-10,IIP,4.5,green
2020-10,Consumer Non-durables production,7.3,green
2020-11,MCEP,40.2,green
2020-11,Core sector output,-1.1,neutral
2020-11,Retail inflation,6.9,green
2020-11,Major Port Cargo Traffic,4.1,green
2020-11,MGNREGA work demanded by persons,50.1,green
2020-11,UPI volume,81.3,green
2020-11,PMI Manufacturing,56.3,green
2020-11,Air passengers,-50.9,red
2020-11,Exports,-8.3,red
2020-11,Unemployment in urban areas,0,neutral
2020-11,Youth unemployment in urban areas,0,neutral
2020-11,Female labour force participation in urban areas,0,neutral
2020-11,Wholesale inflation,2.3,green
2020-11,Imports,-12.2,red
2020-11,GST,1.4,neutral
2020-11,Aggregate deposits,10.7,green
2020-11,Credit card payments,0,neutral
2020-11,Non-food credit,5.9,green
2020-11,Three-wheeler registrations,-39.5,red
2020-11,Tractor sales,19.3,green
2020-11,Four-wheeler sales,11.4,green
2020-11,PMI Services,53.7,green
2020-11,PMI Composite,56.3,green
2020-11,Natural gas consumption,-1.1,neutral
2020-11,Two-wheeler sales,-17.6,red
2020-11,Electricity demand,1.4,neutral
2020-11,Petrol consumption,5.2,green
2020-11,Naukri Job Speak Index,-28,red
2020-11,E-way bill generation,8.1,green
2020-11,ATF consumption,-47,red
2020-11,Diesel consumption,-7,red
2020-11,Rail Freight Traffic,9,green
2020-11,Credit and debit card payments,-8.7,red
2020-11,Air cargo,-19.8,red
2020-11,Consumer Durables production,-3.2,red
2020-11,IIP,-1.6,neutral
2020-11,Consumer Non-durables production,-0.7,red
2020-12,MCEP,44.6,green
2020-12,Core sector output,0.4,neutral
2020-12,Retail inflation,4.6,green
2020-12,Major Port Cargo Traffic,4.4,green
2020-12,MGNREGA work demanded by persons,56.6,green
2020-12,UPI volume,70.8,green
2020-12,PMI Manufacturing,56.4,green
