Base Year,Year,Month,Type,Category,Sub Category,Index,Growth Rate
2011-12,2025,December,Sectoral,Mining,,153,6.8
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Food Products,166.5,8
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Beverages,102.9,-1.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Tobacco Products,104.5,18.5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Textiles,111.4,-2.5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Wearing Apparel,109.5,-8.1
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Leather and Related Products,87.7,-1.7
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",119.8,4.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,81.6,6.1
2011-12,2025,December,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,94.7,5.3
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,146.8,-0.4
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,132.4,1.1
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",285.4,10.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,112.4,5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,176.6,12
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Basic Metals,266.9,12.7
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",116.1,8.1
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",155.3,34.9
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Electrical Equipment,144.8,-11.7
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,137,7.5
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",154.9,33.5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,177.9,25.1
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Furniture,243.3,1.8
2011-12,2025,December,Sectoral,Manufacturing,Other Manufacturing,66.3,-14.9
2011-12,2025,December,Sectoral,Manufacturing,,169.9,8.1
2011-12,2025,December,Sectoral,Electricity,,204.9,6.3
2011-12,2025,December,Use-based category,Primary Goods,,164.6,4.4
2011-12,2025,December,Use-based category,Intermediate Goods,,182.8,7.5
2011-12,2025,December,Use-based category,Infrastructure/ Construction Goods,,219.1,12.1
2011-12,2025,December,Use-based category,Consumer Non-durables,,180.7,8.3
2011-12,2025,December,Use-based category,Consumer Durables,,139,12.3
2011-12,2025,December,Use-based category,Capital Goods,,124,8.1
2011-12,2025,November,General,General,,158.7,7.2
2011-12,2025,November,Sectoral,Mining,,141.6,5.8
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Food Products,146.6,7.4
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Beverages,97.2,-2.2
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Tobacco Products,92.6,15.3
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Textiles,110,3.6
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Wearing Apparel,105.3,-4.5
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Leather and Related Products,77,0.9
2011-12,2025,November,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",115.3,17.4
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,78,4
2011-12,2025,November,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,75.6,-8.5
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,136.1,0.4
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,130.9,6.3
2011-12,2025,November,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",278.9,10.9
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,103,-0.6
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,154.1,12.7
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Basic Metals,247.1,11.3
2011-12,2025,November,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",106.2,11.6
2011-12,2025,November,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",133.5,15.2
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Electrical Equipment,141.3,16.7
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,126.7,7.6
2011-12,2025,November,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",150.3,11.8
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,187.7,17.8
2011-12,2025,November,Sectoral,Manufacturing,Manufacture of Furniture,228.3,13.2
2011-12,2025,November,Sectoral,Manufacturing,Other Manufacturing,71.5,25.4
2011-12,2025,November,Sectoral,Manufacturing,,159.5,8.5
2011-12,2025,November,Sectoral,Electricity,,181.3,-1.5
2011-12,2025,November,Use-based category,Primary Goods,,151,2.2
2011-12,2025,November,Use-based category,Intermediate Goods,,170.2,7.4
2011-12,2025,November,Use-based category,Infrastructure/ Construction Goods,,200.3,13
2011-12,2025,November,Use-based category,Consumer Non-durables,,170.8,8
2011-12,2025,November,Use-based category,Consumer Durables,,135.1,11.2
2011-12,2025,November,Use-based category,Capital Goods,,117.5,10.1
2011-12,2025,October,General,General,,151.1,0.5
2011-12,2025,October,Sectoral,Mining,,126.2,-1.8
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Food Products,120.5,-7.7
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Beverages,99.9,-2.7
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Tobacco Products,88.1,-4.6
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Textiles,106.6,-4.1
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Wearing Apparel,89.6,-13.8
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Leather and Related Products,73,-16.1
2011-12,2025,October,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",106.8,3.5
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,76.5,-2.3
2011-12,2025,October,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,74.1,-5
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,141,6.2
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,125.3,-3.2
2011-12,2025,October,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",209.8,-3.3
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,111.4,-4.5
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,149.6,3.7
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Basic Metals,247.9,8.6
2011-12,2025,October,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",95.8,-4.4
2011-12,2025,October,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",135.4,9
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Electrical Equipment,130.9,4
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,120.2,0
2011-12,2025,October,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",140.2,5.1
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,189.4,2.7
2011-12,2025,October,Sectoral,Manufacturing,Manufacture of Furniture,228.3,8
2011-12,2025,October,Sectoral,Manufacturing,Other Manufacturing,70.1,-23.6
2011-12,2025,October,Sectoral,Manufacturing,,151.3,2
2011-12,2025,October,Sectoral,Electricity,,193.4,-6.9
2011-12,2025,October,Use-based category,Primary Goods,,148.9,-0.6
2011-12,2025,October,Use-based category,Intermediate Goods,,169.2,2.5
2011-12,2025,October,Use-based category,Infrastructure/ Construction Goods,,197.3,7.1
2011-12,2025,October,Use-based category,Consumer Non-durables,,138.8,-5.2
2011-12,2025,October,Use-based category,Consumer Durables,,128.1,-1.3
2011-12,2025,October,Use-based category,Capital Goods,,111.5,2.1
2011-12,2025,September,General,General,,153.7,4.6
2011-12,2025,September,Sectoral,Mining,,111.2,-0.4
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Food Products,118.3,-1.8
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Beverages,100.4,-1.4
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Tobacco Products,93.1,2.1
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Textiles,110.7,1.3
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Wearing Apparel,100.6,-3
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Leather and Related Products,90.8,1.5
2011-12,2025,September,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",121.7,14.1
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,78.4,-3.4
2011-12,2025,September,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,81.2,-4.1
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,129.1,0.2
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,129.3,-0.1
2011-12,2025,September,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",226.9,1.8
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,113,-3.9
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,143.3,4.1
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Basic Metals,247.5,12.7
2011-12,2025,September,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",107.3,7.8
2011-12,2025,September,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",157,7
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Electrical Equipment,165.2,29
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,135.9,3.2
2011-12,2025,September,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",152.6,15.1
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,192.7,2
2011-12,2025,September,Sectoral,Manufacturing,Manufacture of Furniture,235.8,-4.4
2011-12,2025,September,Sectoral,Manufacturing,Other Manufacturing,92.3,-7.2
2011-12,2025,September,Sectoral,Manufacturing,,155.4,5.6
2011-12,2025,September,Sectoral,Electricity,,213.4,3.1
2011-12,2025,September,Use-based category,Primary Goods,,143.2,1.3
2011-12,2025,September,Use-based category,Intermediate Goods,,171,6.3
2011-12,2025,September,Use-based category,Infrastructure/ Construction Goods,,197.7,10.6
2011-12,2025,September,Use-based category,Consumer Non-durables,,145.2,-0.3
2011-12,2025,September,Use-based category,Consumer Durables,,146.2,10
2011-12,2025,September,Use-based category,Capital Goods,,122.8,5.4
2011-12,2025,August,General,General,,151.7,4
2011-12,2025,August,Sectoral,Mining,,113.5,6
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Food Products,116.4,-4.8
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Beverages,99.8,-0.5
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Tobacco Products,96.9,23.4
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Textiles,107.8,-1.5
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Wearing Apparel,106.5,-5.3
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Leather and Related Products,85.5,-9.3
2011-12,2025,August,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",113.6,5.1
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,80.4,-3.1
2011-12,2025,August,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,69.7,-16.3
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,137.8,5.4
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,127,-1.9
2011-12,2025,August,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",193.1,-9.2
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,111.2,-3.7
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,143.9,2.9
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Basic Metals,253.1,12.2
2011-12,2025,August,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",100.9,8.7
2011-12,2025,August,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",148.6,1.4
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Electrical Equipment,142.3,11.4
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,122.5,-0.3
2011-12,2025,August,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",141.8,9.8
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,172.8,10.5
2011-12,2025,August,Sectoral,Manufacturing,Manufacture of Furniture,219.3,-3.1
2011-12,2025,August,Sectoral,Manufacturing,Other Manufacturing,76.9,-11.5
2011-12,2025,August,Sectoral,Manufacturing,,151.6,3.8
2011-12,2025,August,Sectoral,Electricity,,221.1,4.1
2011-12,2025,August,Use-based category,Primary Goods,,148.9,5.2
2011-12,2025,August,Use-based category,Intermediate Goods,,170.4,5
2011-12,2025,August,Use-based category,Infrastructure/ Construction Goods,,200.8,10.6
2011-12,2025,August,Use-based category,Consumer Non-durables,,132.8,-6.3
2011-12,2025,August,Use-based category,Consumer Durables,,134.4,3.5
2011-12,2025,August,Use-based category,Capital Goods,,112.1,4.4
2011-12,2025,July,General,General,,156.2,4.3
2011-12,2025,July,Sectoral,Mining,,107.7,-7.2
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Food Products,118.7,-1
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Beverages,105.1,-6.9
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Tobacco Products,89.7,10.3
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Textiles,107.3,-1.6
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Wearing Apparel,112.7,0.9
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Leather and Related Products,98.6,-3.3
2011-12,2025,July,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",116.1,17.2
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,79.4,-2.8
2011-12,2025,July,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,75.8,-10.2
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,141.9,0.7
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,134.2,-0.7
2011-12,2025,July,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",232.6,3.5
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,113.8,-2.7
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,149.2,9.5
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Basic Metals,255.2,14.1
2011-12,2025,July,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",102.5,9.4
2011-12,2025,July,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",137.1,4.7
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Electrical Equipment,150.6,14.3
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,134,6.2
2011-12,2025,July,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",143.7,7.6
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,182.4,17.7
2011-12,2025,July,Sectoral,Manufacturing,Manufacture of Furniture,223,6.6
2011-12,2025,July,Sectoral,Manufacturing,Other Manufacturing,71.2,-14.5
2011-12,2025,July,Sectoral,Manufacturing,,157.7,6
2011-12,2025,July,Sectoral,Electricity,,228.4,3.7
2011-12,2025,July,Use-based category,Primary Goods,,149,-0.7
2011-12,2025,July,Use-based category,Intermediate Goods,,174.6,6.1
2011-12,2025,July,Use-based category,Infrastructure/ Construction Goods,,204.3,13.7
2011-12,2025,July,Use-based category,Consumer Non-durables,,147.9,0.5
2011-12,2025,July,Use-based category,Consumer Durables,,135.8,7.3
2011-12,2025,July,Use-based category,Capital Goods,,121.7,6.8
2011-12,2025,June,General,General,,153.3,1.5
2011-12,2025,June,Sectoral,Mining,,123.2,-8.7
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Food Products,118.5,0.2
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Beverages,115.7,-7.6
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Tobacco Products,85.1,2.3
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Textiles,107.8,1.5
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Wearing Apparel,127.5,4
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Leather and Related Products,96.2,-3
2011-12,2025,June,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",104.4,0.6
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,77.3,-3.1
2011-12,2025,June,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,76.7,-10.1
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,138.2,4.5
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,126.6,-3.9
2011-12,2025,June,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",220.8,0.9
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,114.7,0.2
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,158.7,3
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Basic Metals,239.4,9.2
2011-12,2025,June,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",102.8,14.9
2011-12,2025,June,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",134.4,-0.3
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Electrical Equipment,143.1,4.6
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,132,5.3
2011-12,2025,June,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",134,4
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,154.2,0.5
2011-12,2025,June,Sectoral,Manufacturing,Manufacture of Furniture,239.2,10.2
2011-12,2025,June,Sectoral,Manufacturing,Other Manufacturing,61.7,-17.3
2011-12,2025,June,Sectoral,Manufacturing,,152,3.7
2011-12,2025,June,Sectoral,Electricity,,220.1,-1.2
2011-12,2025,June,Use-based category,Primary Goods,,152.1,-2.5
2011-12,2025,June,Use-based category,Intermediate Goods,,167.8,5.5
2011-12,2025,June,Use-based category,Infrastructure/ Construction Goods,,197.3,6.7
2011-12,2025,June,Use-based category,Consumer Non-durables,,143.9,-0.9
2011-12,2025,June,Use-based category,Consumer Durables,,130.7,2.8
2011-12,2025,June,Use-based category,Capital Goods,,114.6,3
2011-12,2025,May,General,General,,157.6,1.9
2011-12,2025,May,Sectoral,Mining,,136.4,-0.1
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Food Products,118.4,1.7
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Beverages,131.4,-3.7
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Tobacco Products,93.1,5.7
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Textiles,103.8,-3
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Wearing Apparel,126.5,2.3
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Leather and Related Products,97.9,-4.6
2011-12,2025,May,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",102.4,2.1
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,77.4,-4.4
2011-12,2025,May,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,77.1,-16.1
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,142.2,1.1
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,127.9,-4
2011-12,2025,May,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",243.5,-0.6
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,121.8,8.4
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,159.4,6.9
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Basic Metals,243.5,7.8
2011-12,2025,May,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",97.7,-0.1
2011-12,2025,May,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",129.8,-4.9
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Electrical Equipment,132.3,7.8
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,130.6,10.6
2011-12,2025,May,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",142.7,6.2
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,163.1,6.5
2011-12,2025,May,Sectoral,Manufacturing,Manufacture of Furniture,232,-5.7
2011-12,2025,May,Sectoral,Manufacturing,Other Manufacturing,61.4,-15.3
2011-12,2025,May,Sectoral,Manufacturing,,155.2,3.2
2011-12,2025,May,Sectoral,Electricity,,218.5,-4.7
2011-12,2025,May,Use-based category,Primary Goods,,158.6,-1.4
2011-12,2025,May,Use-based category,Intermediate Goods,,170,4.7
2011-12,2025,May,Use-based category,Infrastructure/ Construction Goods,,198.8,6.7
2011-12,2025,May,Use-based category,Consumer Non-durables,,152.5,-1
2011-12,2025,May,Use-based category,Consumer Durables,,129,-0.9
2011-12,2025,May,Use-based category,Capital Goods,,119.3,13.3
2011-12,2025,April,General,General,,151.8,2.6
2011-12,2025,April,Sectoral,Mining,,130.7,-0.2
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Food Products,121.1,1.1
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Beverages,121.9,-1.5
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Tobacco Products,75.7,23.9
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Textiles,105.7,0.4
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Wearing Apparel,114.2,8.7
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Leather and Related Products,88.4,-1
2011-12,2025,April,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",105,24.6
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,73.7,-2.5
2011-12,2025,April,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,75.3,-8.3
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,132.5,-2.1
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,121.8,-4.1
2011-12,2025,April,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",231.5,-5.3
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,117,7.4
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,156.7,5.4
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Basic Metals,235.6,6.8
2011-12,2025,April,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",94.1,10.7
2011-12,2025,April,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",126.3,10.6
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Electrical Equipment,125.9,14
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Machinery and Equipment N.e.c.,118.3,9.5
2011-12,2025,April,Sectoral,Manufacturing,"Manufacture of Motor Vehicles, Trailers and Semi-trailers",146.7,16
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Other Transport Equipment,139.2,-0.8
2011-12,2025,April,Sectoral,Manufacturing,Manufacture of Furniture,223.7,1.3
